reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
when he speaks his voice is just a bit cracked and quivers a trifle,when ebig it woid it dead a bed crack and quavers a drifl,when epik inwit i dad a bead crack and cuavered a drimphl,"{'mean_confidence': 0.9750182032585144, 'min_confidence': 0.3867012858390808, 'max_confidence': 0.9999998807907104}","{'mean_confidence': 0.9514076113700867, 'min_confidence': 0.39757370948791504, 'max_confidence': 0.9999997615814209}",12.0750625,8.4238125,0.7142857142857143,0.7142857142857143,"{'original_duration': 12.0750625, 'adjusted_duration': 8.4238125, 'phoneme_stats': {'sil': {'count': 5, 'total_original_duration': 2.8681875, 'total_adjusted_duration': 2.8681875, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.5275, 'total_adjusted_duration': 0.5689066036015739, 'tempo_ratio': 0.927217221}, 'w': {'count': 2, 'total_original_duration': 0.26875000000000004, 'total_adjusted_duration': 0.1931426917681554, 'tempo_ratio': 1.391458292}, 'eh': {'count': 1, 'total_original_duration': 0.1265625, 'total_adjusted_duration': 0.07932265064144449, 'tempo_ratio': 1.595540479}, 'n': {'count': 2, 'total_original_duration': 0.34750000000000003, 'total_adjusted_duration': 0.20296057344437202, 'tempo_ratio': 1.712155194}, 'iy': {'count': 2, 'total_original_duration': 0.6219375, 'total_adjusted_duration': 0.35633832514127267, 'tempo_ratio': 1.745356747}, 'pcl': {'count': 1, 'total_original_duration': 0.160375, 'total_adjusted_duration': 0.12040431600391456, 'tempo_ratio': 1.331970525}, 'p': {'count': 1, 'total_original_duration': 0.074875, 'total_adjusted_duration': 0.0555379115391418, 'tempo_ratio': 1.348178171}, 'kcl': {'count': 4, 'total_original_duration': 0.50075, 'total_adjusted_duration': 0.3210198491672516, 'tempo_ratio': 1.559872392}, 'k': {'count': 4, 'total_original_duration': 0.320375, 'total_adjusted_duration': 0.1965660660775273, 'tempo_ratio': 1.629859143}, 'hh': {'count': 1, 'total_original_duration': 0.1105, 'total_adjusted_duration': 0.06236872565011008, 'tempo_ratio': 1.771721305}, 'ih': {'count': 4, 'total_original_duration': 0.9580625, 'total_adjusted_duration': 0.6219136743787693, 'tempo_ratio': 1.540507211}, 'z': {'count': 3, 'total_original_duration': 0.7485625, 'total_adjusted_duration': 0.2892972962230348, 'tempo_ratio': 2.587519862}, 'v': {'count': 2, 'total_original_duration': 0.4561875, 'total_adjusted_duration': 0.1856058418817198, 'tempo_ratio': 2.457829427}, 'oy': {'count': 1, 'total_original_duration': 0.4954375, 'total_adjusted_duration': 0.24508933917069592, 'tempo_ratio': 2.021456754}, 's': {'count': 1, 'total_original_duration': 0.15325, 'total_adjusted_duration': 0.10989494871148961, 'tempo_ratio': 1.394513595}, 'jh': {'count': 1, 'total_original_duration': 0.0890625, 'total_adjusted_duration': 0.03950033132223733, 'tempo_ratio': 2.254727923}, 'ah': {'count': 4, 'total_original_duration': 1.1882499999999998, 'total_adjusted_duration': 0.6777622187389176, 'tempo_ratio': 1.753195984}, 't': {'count': 3, 'total_original_duration': 0.2375625, 'total_adjusted_duration': 0.16381083372813712, 'tempo_ratio': 1.450224595}, 'bcl': {'count': 1, 'total_original_duration': 0.158625, 'total_adjusted_duration': 0.10591866672080975, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.0274375, 'total_adjusted_duration': 0.018072287529788317, 'tempo_ratio': 1.51820847}, 'tcl': {'count': 2, 'total_original_duration': 0.2815625, 'total_adjusted_duration': 0.20141967346044629, 'tempo_ratio': 1.397889765}, 'r': {'count': 2, 'total_original_duration': 0.3493125, 'total_adjusted_duration': 0.17031542975374186, 'tempo_ratio': 2.050973893}, 'ae': {'count': 2, 'total_original_duration': 0.28693749999999996, 'total_adjusted_duration': 0.14693369108026838, 'tempo_ratio': 1.95283667}, 'er': {'count': 1, 'total_original_duration': 0.160375, 'total_adjusted_duration': 0.07469296386584391, 'tempo_ratio': 2.147123259}, 'ay': {'count': 1, 'total_original_duration': 0.311875, 'total_adjusted_duration': 0.21908910090756742, 'tempo_ratio': 1.423507599}, 'f': {'count': 1, 'total_original_duration': 0.147875, 'total_adjusted_duration': 0.07681803420783972, 'tempo_ratio': 1.925003699}, 'l': {'count': 1, 'total_original_duration': 0.09625, 'total_adjusted_duration': 0.05308947246125262, 'tempo_ratio': 1.812977141}}}",0005.wav
trait,trat,straight,"{'mean_confidence': 0.9981512427330017, 'min_confidence': 0.8039098381996155, 'max_confidence': 1.0}","{'mean_confidence': 0.9915623068809509, 'min_confidence': 0.5336085557937622, 'max_confidence': 1.0}",2.86,2.5658125,1.0,1.0,"{'original_duration': 2.86, 'adjusted_duration': 2.5658125, 'phoneme_stats': {'sil': {'count': 2, 'total_original_duration': 1.9611874999999999, 'total_adjusted_duration': 1.9611874999999999, 'tempo_ratio': 1.0}, 't': {'count': 2, 'total_original_duration': 0.12306249999999999, 'total_adjusted_duration': 0.08485754580655144, 'tempo_ratio': 1.450224595}, 'r': {'count': 1, 'total_original_duration': 0.1053125, 'total_adjusted_duration': 0.05134755754787172, 'tempo_ratio': 2.050973893}, 'ey': {'count': 1, 'total_original_duration': 0.4764375, 'total_adjusted_duration': 0.3304993604400785, 'tempo_ratio': 1.441568599}, 'tcl': {'count': 1, 'total_original_duration': 0.19275, 'total_adjusted_duration': 0.1378864090903477, 'tempo_ratio': 1.397889765}}}",0006.wav
trouble,trabo,trouble,"{'mean_confidence': 0.9866492748260498, 'min_confidence': 0.5780712962150574, 'max_confidence': 0.9999996423721313}","{'mean_confidence': 0.9959026575088501, 'min_confidence': 0.7354103326797485, 'max_confidence': 0.9999997615814209}",2.62,2.274125,1.0,0.0,"{'original_duration': 2.62, 'adjusted_duration': 2.274125, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 1.5995625, 'total_adjusted_duration': 1.5995625, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.1679375, 'total_adjusted_duration': 0.18111991041201767, 'tempo_ratio': 0.927217221}, 't': {'count': 1, 'total_original_duration': 0.1525, 'total_adjusted_duration': 0.10515612583442636, 'tempo_ratio': 1.450224595}, 'r': {'count': 1, 'total_original_duration': 0.13, 'total_adjusted_duration': 0.06338452207689803, 'tempo_ratio': 2.050973893}, 'ah': {'count': 1, 'total_original_duration': 0.2, 'total_adjusted_duration': 0.11407737744395838, 'tempo_ratio': 1.753195984}, 'bcl': {'count': 1, 'total_original_duration': 0.1415, 'total_adjusted_duration': 0.09448379095977671, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.0210625, 'total_adjusted_duration': 0.013873259447696271, 'tempo_ratio': 1.51820847}, 'uh': {'count': 1, 'total_original_duration': 0.1149375, 'total_adjusted_duration': 0.05560749550305842, 'tempo_ratio': 2.066942576}, 'l': {'count': 1, 'total_original_duration': 0.085, 'total_adjusted_duration': 0.04688420944630101, 'tempo_ratio': 1.812977141}}}",0007.wav
fee,fe,se,"{'mean_confidence': 0.9854456186294556, 'min_confidence': 0.34464091062545776, 'max_confidence': 0.9999996423721313}","{'mean_confidence': 0.9917000532150269, 'min_confidence': 0.6378457546234131, 'max_confidence': 0.9999995231628418}",4.06,3.7635625,1.0,1.0,"{'original_duration': 4.06, 'adjusted_duration': 3.7635625, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 3.0625, 'total_adjusted_duration': 3.0625, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.2875, 'total_adjusted_duration': 0.31006758016199526, 'tempo_ratio': 0.927217221}, 'f': {'count': 1, 'total_original_duration': 0.2425, 'total_adjusted_duration': 0.1259737839080381, 'tempo_ratio': 1.925003699}, 'iy': {'count': 1, 'total_original_duration': 0.4625, 'total_adjusted_duration': 0.26498880575273015, 'tempo_ratio': 1.745356747}}}",0008.wav
grandfather likes to be modern in his language,grandvare like dobe mydern inthe anguis,granbaly legs david midern imi language,"{'mean_confidence': 0.9704043865203857, 'min_confidence': 0.33619600534439087, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.9570878744125366, 'min_confidence': 0.4570339620113373, 'max_confidence': 0.9999996423721313}",8.54,6.27525,1.0,0.875,"{'original_duration': 8.54, 'adjusted_duration': 6.27525, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 3.1299374999999996, 'total_adjusted_duration': 3.1299374999999996, 'tempo_ratio': 1.0}, 'gcl': {'count': 1, 'total_original_duration': 0.066, 'total_adjusted_duration': 0.043617684136032044, 'tempo_ratio': 1.513147736}, 'g': {'count': 2, 'total_original_duration': 0.06925, 'total_adjusted_duration': 0.03758990667027069, 'tempo_ratio': 1.842249852}, 'r': {'count': 1, 'total_original_duration': 0.070625, 'total_adjusted_duration': 0.034434860551391715, 'tempo_ratio': 2.050973893}, 'ae': {'count': 2, 'total_original_duration': 0.5673125, 'total_adjusted_duration': 0.29050688606743547, 'tempo_ratio': 1.95283667}, 'n': {'count': 3, 'total_original_duration': 0.4284375, 'total_adjusted_duration': 0.25023286528078603, 'tempo_ratio': 1.712155194}, 'f': {'count': 1, 'total_original_duration': 0.1355, 'total_adjusted_duration': 0.07038947513212027, 'tempo_ratio': 1.925003699}, 'aa': {'count': 2, 'total_original_duration': 0.6594375, 'total_adjusted_duration': 0.4105395721744947, 'tempo_ratio': 1.606270247}, 'dh': {'count': 1, 'total_original_duration': 0.123, 'total_adjusted_duration': 0.05225655034414074, 'tempo_ratio': 2.353771904}, 'er': {'count': 2, 'total_original_duration': 0.4278125, 'total_adjusted_duration': 0.199249157311653, 'tempo_ratio': 2.147123259}, 'l': {'count': 2, 'total_original_duration': 0.407625, 'total_adjusted_duration': 0.22483736324174647, 'tempo_ratio': 1.812977141}, 'ay': {'count': 1, 'total_original_duration': 0.226375, 'total_adjusted_duration': 0.15902619709162508, 'tempo_ratio': 1.423507599}, 'kcl': {'count': 1, 'total_original_duration': 0.1140625, 'total_adjusted_duration': 0.0731229686383218, 'tempo_ratio': 1.559872392}, 'k': {'count': 1, 'total_original_duration': 0.1265625, 'total_adjusted_duration': 0.0776524158811925, 'tempo_ratio': 1.629859143}, 'tcl': {'count': 1, 'total_original_duration': 0.1461875, 'total_adjusted_duration': 0.10457727330166124, 'tempo_ratio': 1.397889765}, 't': {'count': 1, 'total_original_duration': 0.0320625, 'total_adjusted_duration': 0.022108644488959314, 'tempo_ratio': 1.450224595}, 'uw': {'count': 1, 'total_original_duration': 0.1550625, 'total_adjusted_duration': 0.11492738624437095, 'tempo_ratio': 1.349221496}, 'bcl': {'count': 1, 'total_original_duration': 0.142625, 'total_adjusted_duration': 0.0952349871776548, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.021375, 'total_adjusted_duration': 0.014079094157602744, 'tempo_ratio': 1.51820847}, 'iy': {'count': 1, 'total_original_duration': 0.1408125, 'total_adjusted_duration': 0.08067834856228392, 'tempo_ratio': 1.745356747}, 'm': {'count': 1, 'total_original_duration': 0.0570625, 'total_adjusted_duration': 0.031740001658907, 'tempo_ratio': 1.79781024}, 'dcl': {'count': 1, 'total_original_duration': 0.130125, 'total_adjusted_duration': 0.0871440682653059, 'tempo_ratio': 1.493216952}, 'd': {'count': 1, 'total_original_duration': 0.05525, 'total_adjusted_duration': 0.03439210924177862, 'tempo_ratio': 1.606473148}, 'ih': {'count': 2, 'total_original_duration': 0.45918749999999997, 'total_adjusted_duration': 0.2980755278009536, 'tempo_ratio': 1.540507211}, 'z': {'count': 1, 'total_original_duration': 0.115875, 'total_adjusted_duration': 0.04478226494092898, 'tempo_ratio': 2.587519862}, 'ng': {'count': 1, 'total_original_duration': 0.1265625, 'total_adjusted_duration': 0.06640028638943898, 'tempo_ratio': 1.906053526}, 'w': {'count': 1, 'total_original_duration': 0.1274375, 'total_adjusted_duration': 0.09158556942215557, 'tempo_ratio': 1.391458292}, 'ah': {'count': 1, 'total_original_duration': 0.1265625, 'total_adjusted_duration': 0.0721895904137549, 'tempo_ratio': 1.753195984}, 'jh': {'count': 1, 'total_original_duration': 0.144375, 'total_adjusted_duration': 0.06403211603815313, 'tempo_ratio': 2.254727923}}}",0009.wav
raid,rad,rad,"{'mean_confidence': 0.9974043369293213, 'min_confidence': 0.7829688787460327, 'max_confidence': 0.9999998807907104}","{'mean_confidence': 0.9969757199287415, 'min_confidence': 0.5630698800086975, 'max_confidence': 0.9999998807907104}",3.86,3.4535625,1.0,1.0,"{'original_duration': 3.86, 'adjusted_duration': 3.4535625, 'phoneme_stats': {'sil': {'count': 2, 'total_original_duration': 2.804875, 'total_adjusted_duration': 2.804875, 'tempo_ratio': 1.0}, 'r': {'count': 1, 'total_original_duration': 0.355875, 'total_adjusted_duration': 0.17351512918550835, 'tempo_ratio': 2.050973893}, 'ey': {'count': 1, 'total_original_duration': 0.5011875, 'total_adjusted_duration': 0.34766815838501763, 'tempo_ratio': 1.441568599}, 'dcl': {'count': 1, 'total_original_duration': 0.137375, 'total_adjusted_duration': 0.09199935737134599, 'tempo_ratio': 1.493216952}, 'd': {'count': 1, 'total_original_duration': 0.0570625, 'total_adjusted_duration': 0.035520357169393536, 'tempo_ratio': 1.606473148}}}",0010.wav
except in the winter when the ooze or snow or ice prevents,a gab in the winter wen the ar not our il pervent,agiab in the window and tu ar naw al eid perfent,"{'mean_confidence': 0.9756202697753906, 'min_confidence': 0.4594169855117798, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.9417944550514221, 'min_confidence': 0.3597120940685272, 'max_confidence': 0.9999995231628418}",9.46,7.2434375,0.75,0.8333333333333334,"{'original_duration': 9.46, 'adjusted_duration': 7.2434375, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 3.3333125, 'total_adjusted_duration': 3.3333125, 'tempo_ratio': 1.0}, 'ih': {'count': 3, 'total_original_duration': 0.63675, 'total_adjusted_duration': 0.41333788991916637, 'tempo_ratio': 1.540507211}, 'kcl': {'count': 1, 'total_original_duration': 0.09475, 'total_adjusted_duration': 0.060742148194901834, 'tempo_ratio': 1.559872392}, 'k': {'count': 1, 'total_original_duration': 0.0360625, 'total_adjusted_duration': 0.02212614516713485, 'tempo_ratio': 1.629859143}, 's': {'count': 2, 'total_original_duration': 0.33799999999999997, 'total_adjusted_duration': 0.2423784186915725, 'tempo_ratio': 1.394513595}, 'eh': {'count': 3, 'total_original_duration': 0.476375, 'total_adjusted_duration': 0.29856653984646414, 'tempo_ratio': 1.595540479}, 'pcl': {'count': 3, 'total_original_duration': 0.4484375, 'total_adjusted_duration': 0.3366722398005016, 'tempo_ratio': 1.331970525}, 'p': {'count': 3, 'total_original_duration': 0.14100000000000001, 'total_adjusted_duration': 0.10458558299858424, 'tempo_ratio': 1.348178171}, 'n': {'count': 5, 'total_original_duration': 0.6568125, 'total_adjusted_duration': 0.383617386030019, 'tempo_ratio': 1.712155194}, 'dh': {'count': 2, 'total_original_duration': 0.058374999999999996, 'total_adjusted_duration': 0.02480061891332696, 'tempo_ratio': 2.353771904}, 'ah': {'count': 2, 'total_original_duration': 0.23125, 'total_adjusted_duration': 0.13190196766957688, 'tempo_ratio': 1.753195984}, 'w': {'count': 2, 'total_original_duration': 0.3646875, 'total_adjusted_duration': 0.2620901410388807, 'tempo_ratio': 1.391458292}, 'tcl': {'count': 2, 'total_original_duration': 0.1524375, 'total_adjusted_duration': 0.10904829823973995, 'tempo_ratio': 1.397889765}, 't': {'count': 2, 'total_original_duration': 0.10037499999999999, 'total_adjusted_duration': 0.06921341725003637, 'tempo_ratio': 1.450224595}, 'er': {'count': 1, 'total_original_duration': 0.21975, 'total_adjusted_duration': 0.10234624355117193, 'tempo_ratio': 2.147123259}, 'noi': {'count': 1, 'total_original_duration': 0.038125, 'total_adjusted_duration': 0.041117657369308065, 'tempo_ratio': 0.927217221}, 'uw': {'count': 1, 'total_original_duration': 0.39125, 'total_adjusted_duration': 0.28998203864964217, 'tempo_ratio': 1.349221496}, 'ao': {'count': 2, 'total_original_duration': 0.37474999999999997, 'total_adjusted_duration': 0.2518091034373795, 'tempo_ratio': 1.488230548}, 'r': {'count': 3, 'total_original_duration': 0.7571875, 'total_adjusted_duration': 0.3691843677700094, 'tempo_ratio': 2.050973893}, 'ow': {'count': 1, 'total_original_duration': 0.2286875, 'total_adjusted_duration': 0.17128748065277244, 'tempo_ratio': 1.335109251}, 'ay': {'count': 1, 'total_original_duration': 0.242625, 'total_adjusted_duration': 0.1704416612671697, 'tempo_ratio': 1.423507599}, 'v': {'count': 1, 'total_original_duration': 0.1346875, 'total_adjusted_duration': 0.05479936830457681, 'tempo_ratio': 2.457829427}}}",0011.wav
a long flowing beard clings to his chin,d i felin bid clink to edz,a young growing beard clings to a lane,"{'mean_confidence': 0.9737747311592102, 'min_confidence': 0.36235731840133667, 'max_confidence': 0.9999992847442627}","{'mean_confidence': 0.982041597366333, 'min_confidence': 0.42850589752197266, 'max_confidence': 1.0}",10.225,7.3191875,0.875,0.5,"{'original_duration': 10.225, 'adjusted_duration': 7.3191875, 'phoneme_stats': {'sil': {'count': 5, 'total_original_duration': 2.524875, 'total_adjusted_duration': 2.524875, 'tempo_ratio': 1.0}, 'ah': {'count': 1, 'total_original_duration': 0.5025, 'total_adjusted_duration': 0.2866194108279454, 'tempo_ratio': 1.753195984}, 'l': {'count': 3, 'total_original_duration': 0.536125, 'total_adjusted_duration': 0.2957152563458604, 'tempo_ratio': 1.812977141}, 'ao': {'count': 1, 'total_original_duration': 0.255, 'total_adjusted_duration': 0.17134441995071856, 'tempo_ratio': 1.488230548}, 'ng': {'count': 3, 'total_original_duration': 0.818125, 'total_adjusted_duration': 0.4292245673272871, 'tempo_ratio': 1.906053526}, 'f': {'count': 1, 'total_original_duration': 0.12, 'total_adjusted_duration': 0.06233754255243122, 'tempo_ratio': 1.925003699}, 'ow': {'count': 1, 'total_original_duration': 0.275, 'total_adjusted_duration': 0.20597565314900212, 'tempo_ratio': 1.335109251}, 'bcl': {'count': 1, 'total_original_duration': 0.1545, 'total_adjusted_duration': 0.10316428058859013, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.0315, 'total_adjusted_duration': 0.020748138758572465, 'tempo_ratio': 1.51820847}, 'ih': {'count': 4, 'total_original_duration': 0.6098124999999999, 'total_adjusted_duration': 0.3958517659934537, 'tempo_ratio': 1.540507211}, 'r': {'count': 1, 'total_original_duration': 0.3138125, 'total_adjusted_duration': 0.15300657949428126, 'tempo_ratio': 2.050973893}, 'dcl': {'count': 1, 'total_original_duration': 0.1753125, 'total_adjusted_duration': 0.1174059132969179, 'tempo_ratio': 1.493216952}, 'd': {'count': 1, 'total_original_duration': 0.03175, 'total_adjusted_duration': 0.019763791283737037, 'tempo_ratio': 1.606473148}, 'kcl': {'count': 1, 'total_original_duration': 0.6975, 'total_adjusted_duration': 0.44715196164584725, 'tempo_ratio': 1.559872392}, 'k': {'count': 1, 'total_original_duration': 0.118125, 'total_adjusted_duration': 0.07247558815577966, 'tempo_ratio': 1.629859143}, 'g': {'count': 1, 'total_original_duration': 0.087625, 'total_adjusted_duration': 0.04756412378314036, 'tempo_ratio': 1.842249852}, 'z': {'count': 2, 'total_original_duration': 0.7419374999999999, 'total_adjusted_duration': 0.28673692940332685, 'tempo_ratio': 2.587519862}, 'tcl': {'count': 1, 'total_original_duration': 0.82325, 'total_adjusted_duration': 0.588923404843729, 'tempo_ratio': 1.397889765}, 't': {'count': 1, 'total_original_duration': 0.04575, 'total_adjusted_duration': 0.031546837750327905, 'tempo_ratio': 1.450224595}, 'uw': {'count': 1, 'total_original_duration': 0.094, 'total_adjusted_duration': 0.06966980609090444, 'tempo_ratio': 1.349221496}, 'ch': {'count': 2, 'total_original_duration': 0.212125, 'total_adjusted_duration': 0.14240288238551982, 'tempo_ratio': 1.489611702}, 'ay': {'count': 1, 'total_original_duration': 0.3036875, 'total_adjusted_duration': 0.21333746318835073, 'tempo_ratio': 1.423507599}, 'n': {'count': 2, 'total_original_duration': 0.35443749999999996, 'total_adjusted_duration': 0.20701248417320747, 'tempo_ratio': 1.712155194}, 'noi': {'count': 2, 'total_original_duration': 0.39518749999999997, 'total_adjusted_duration': 0.4262081107313687, 'tempo_ratio': 0.927217221}}}",0012.wav
a long flowing beard clings to his chin,a young filo in ber clingdividion,a land flowing ber clam the region,"{'mean_confidence': 0.9844938516616821, 'min_confidence': 0.5035060048103333, 'max_confidence': 1.0}","{'mean_confidence': 0.9756565093994141, 'min_confidence': 0.4977404475212097, 'max_confidence': 0.9999998807907104}",7.915,5.7805625,0.875,0.75,"{'original_duration': 7.915, 'adjusted_duration': 5.7805625, 'phoneme_stats': {'sil': {'count': 6, 'total_original_duration': 2.6731875, 'total_adjusted_duration': 2.6731875, 'tempo_ratio': 1.0}, 'ah': {'count': 1, 'total_original_duration': 0.3363125, 'total_adjusted_duration': 0.19182824000810625, 'tempo_ratio': 1.753195984}, 'l': {'count': 3, 'total_original_duration': 0.3228125, 'total_adjusted_duration': 0.17805657484569468, 'tempo_ratio': 1.812977141}, 'ao': {'count': 1, 'total_original_duration': 0.1703125, 'total_adjusted_duration': 0.11443959420728139, 'tempo_ratio': 1.488230548}, 'ng': {'count': 3, 'total_original_duration': 0.8094375, 'total_adjusted_duration': 0.4246667205084565, 'tempo_ratio': 1.906053526}, 'f': {'count': 1, 'total_original_duration': 0.1385, 'total_adjusted_duration': 0.07194791369593104, 'tempo_ratio': 1.925003699}, 'ow': {'count': 1, 'total_original_duration': 0.1969375, 'total_adjusted_duration': 0.14750665524375128, 'tempo_ratio': 1.335109251}, 'ih': {'count': 5, 'total_original_duration': 0.8620625, 'total_adjusted_duration': 0.5595965366759974, 'tempo_ratio': 1.540507211}, 'bcl': {'count': 1, 'total_original_duration': 0.0859375, 'total_adjusted_duration': 0.057383044421242486, 'tempo_ratio': 1.497611374}, 'b': {'count': 1, 'total_original_duration': 0.0335, 'total_adjusted_duration': 0.02206548090197389, 'tempo_ratio': 1.51820847}, 'r': {'count': 1, 'total_original_duration': 0.176625, 'total_adjusted_duration': 0.08611762470640089, 'tempo_ratio': 2.050973893}, 'd': {'count': 1, 'total_original_duration': 0.06975, 'total_adjusted_duration': 0.0434180926626979, 'tempo_ratio': 1.606473148}, 'kcl': {'count': 1, 'total_original_duration': 0.624125, 'total_adjusted_duration': 0.4001128574368666, 'tempo_ratio': 1.559872392}, 'k': {'count': 1, 'total_original_duration': 0.068, 'total_adjusted_duration': 0.04172139677962343, 'tempo_ratio': 1.629859143}, 'z': {'count': 2, 'total_original_duration': 0.491, 'total_adjusted_duration': 0.18975699750589972, 'tempo_ratio': 2.587519862}, 'tcl': {'count': 1, 'total_original_duration': 0.183875, 'total_adjusted_duration': 0.13153755367827594, 'tempo_ratio': 1.397889765}, 't': {'count': 1, 'total_original_duration': 0.070625, 'total_adjusted_duration': 0.04869935335774663, 'tempo_ratio': 1.450224595}, 'uw': {'count': 1, 'total_original_duration': 0.2473125, 'total_adjusted_duration': 0.18330014807294473, 'tempo_ratio': 1.349221496}, 'ch': {'count': 1, 'total_original_duration': 0.112375, 'total_adjusted_duration': 0.07543912272515163, 'tempo_ratio': 1.489611702}, 'n': {'count': 1, 'total_original_duration': 0.2391875, 'total_adjusted_duration': 0.13969966089417477, 'tempo_ratio': 1.712155194}}}",0013.wav
fair,fare,fear,"{'mean_confidence': 0.9981362819671631, 'min_confidence': 0.8494428992271423, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.998670756816864, 'min_confidence': 0.9100293517112732, 'max_confidence': 0.9999998807907104}",2.76,2.4816875,1.0,1.0,"{'original_duration': 2.76, 'adjusted_duration': 2.4816875, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 1.829875, 'total_adjusted_duration': 1.829875, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.28, 'total_adjusted_duration': 0.30197886067950847, 'tempo_ratio': 0.927217221}, 'f': {'count': 1, 'total_original_duration': 0.203, 'total_adjusted_duration': 0.10545434281786283, 'tempo_ratio': 1.925003699}, 'eh': {'count': 1, 'total_original_duration': 0.20525, 'total_adjusted_duration': 0.12863979491679195, 'tempo_ratio': 1.595540479}, 'r': {'count': 1, 'total_original_duration': 0.237375, 'total_adjusted_duration': 0.11573769944618208, 'tempo_ratio': 2.050973893}}}",0014.wav
