reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
jagged,the jay,that day,"{'mean_confidence': 0.9771305322647095, 'min_confidence': 0.4897202253341675, 'max_confidence': 0.9999990463256836}","{'mean_confidence': 0.9981138110160828, 'min_confidence': 0.9393249750137329, 'max_confidence': 0.9999992847442627}",3.275,2.790375,2.0,2.0,"{'original_duration': 3.275, 'adjusted_duration': 2.790375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.4325, 'total_adjusted_duration': 2.3074832350078283, 'tempo_ratio': 1.05417884}, 'jh': {'count': 1, 'total_original_duration': 0.2975, 'total_adjusted_duration': 0.15602205971935285, 'tempo_ratio': 1.906781647}, 'ae': {'count': 1, 'total_original_duration': 0.225, 'total_adjusted_duration': 0.12852432161674218, 'tempo_ratio': 1.750641413}, 'g': {'count': 1, 'total_original_duration': 0.31, 'total_adjusted_duration': 0.19837667103044787, 'tempo_ratio': 1.562683749}}}",0006.wav
grandfather likes to be modern in his language,grandmather liked to b ma marwin in his language,gugan pasen by to bin m marwin and labed,"{'mean_confidence': 0.9689447283744812, 'min_confidence': 0.44731107354164124, 'max_confidence': 0.9999986886978149}","{'mean_confidence': 0.9229785203933716, 'min_confidence': 0.35408350825309753, 'max_confidence': 0.9999926090240479}",10.44,7.2675,0.625,1.0,"{'original_duration': 10.44, 'adjusted_duration': 7.2675, 'phoneme_stats': {'noi': {'count': 4, 'total_original_duration': 3.41, 'total_adjusted_duration': 3.2347452544200177, 'tempo_ratio': 1.05417884}, 'gcl': {'count': 2, 'total_original_duration': 0.31, 'total_adjusted_duration': 0.22663205092619865, 'tempo_ratio': 1.367855953}, 'g': {'count': 1, 'total_original_duration': 0.04, 'total_adjusted_duration': 0.02559698981038037, 'tempo_ratio': 1.562683749}, 'r': {'count': 1, 'total_original_duration': 0.2075, 'total_adjusted_duration': 0.132420881516325, 'tempo_ratio': 1.566973408}, 'ae': {'count': 1, 'total_original_duration': 0.2975, 'total_adjusted_duration': 0.16993771413769243, 'tempo_ratio': 1.750641413}, 'dcl': {'count': 3, 'total_original_duration': 0.3275, 'total_adjusted_duration': 0.21021066406439687, 'tempo_ratio': 1.557960922}, 'd': {'count': 2, 'total_original_duration': 0.0875, 'total_adjusted_duration': 0.04887131660782469, 'tempo_ratio': 1.790416262}, 'f': {'count': 1, 'total_original_duration': 0.125, 'total_adjusted_duration': 0.07665616680167013, 'tempo_ratio': 1.630658109}, 'aa': {'count': 3, 'total_original_duration': 0.6975, 'total_adjusted_duration': 0.3725969527800046, 'tempo_ratio': 1.871995986}, 'dh': {'count': 1, 'total_original_duration': 0.0375, 'total_adjusted_duration': 0.016806194780605674, 'tempo_ratio': 2.231320087}, 'er': {'count': 2, 'total_original_duration': 0.16, 'total_adjusted_duration': 0.07904281818821328, 'tempo_ratio': 2.024219324}, 'l': {'count': 2, 'total_original_duration': 0.43, 'total_adjusted_duration': 0.23898897335500874, 'tempo_ratio': 1.799246191}, 'ay': {'count': 1, 'total_original_duration': 0.1475, 'total_adjusted_duration': 0.10835360141318483, 'tempo_ratio': 1.361283779}, 'kcl': {'count': 1, 'total_original_duration': 0.0375, 'total_adjusted_duration': 0.019063955446098447, 'tempo_ratio': 1.967062927}, 'k': {'count': 1, 'total_original_duration': 0.1775, 'total_adjusted_duration': 0.08936746978685979, 'tempo_ratio': 1.98618133}, 'tcl': {'count': 1, 'total_original_duration': 0.2025, 'total_adjusted_duration': 0.12087223640583802, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.0975, 'total_adjusted_duration': 0.0591811896370265, 'tempo_ratio': 1.647482935}, 'uw': {'count': 1, 'total_original_duration': 0.2, 'total_adjusted_duration': 0.11079093466560644, 'tempo_ratio': 1.805201848}, 'bcl': {'count': 1, 'total_original_duration': 0.1775, 'total_adjusted_duration': 0.11004532247294743, 'tempo_ratio': 1.612971783}, 'b': {'count': 1, 'total_original_duration': 0.0625, 'total_adjusted_duration': 0.03735448695576714, 'tempo_ratio': 1.673159106}, 'iy': {'count': 1, 'total_original_duration': 0.335, 'total_adjusted_duration': 0.21535778545400927, 'tempo_ratio': 1.555550914}, 'm': {'count': 2, 'total_original_duration': 0.36, 'total_adjusted_duration': 0.20546759533141803, 'tempo_ratio': 1.752101101}, 'n': {'count': 3, 'total_original_duration': 0.38, 'total_adjusted_duration': 0.21864568024413708, 'tempo_ratio': 1.737971679}, 'ih': {'count': 4, 'total_original_duration': 0.505, 'total_adjusted_duration': 0.30335424896204405, 'tempo_ratio': 1.664720378}, 'hh': {'count': 2, 'total_original_duration': 0.215, 'total_adjusted_duration': 0.1492083209483198, 'tempo_ratio': 1.440938405}, 'z': {'count': 1, 'total_original_duration': 0.195, 'total_adjusted_duration': 0.08210932900443295, 'tempo_ratio': 2.374882396}, 'jh': {'count': 2, 'total_original_duration': 0.495, 'total_adjusted_duration': 0.2595997296170745, 'tempo_ratio': 1.906781647}, 'ah': {'count': 2, 'total_original_duration': 0.49249999999999994, 'total_adjusted_duration': 0.23232234927197454, 'tempo_ratio': 2.119899362}, 'ng': {'count': 1, 'total_original_duration': 0.1275, 'total_adjusted_duration': 0.06091384835752286, 'tempo_ratio': 2.093120094}, 'w': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05269302227936291, 'tempo_ratio': 1.755450646}}}",0007.wav
sticks,did,did,"{'mean_confidence': 0.9962220191955566, 'min_confidence': 0.8269099593162537, 'max_confidence': 0.9999995231628418}","{'mean_confidence': 0.9963265061378479, 'min_confidence': 0.8304612040519714, 'max_confidence': 0.9999996423721313}",3.045,2.616125,1.0,1.0,"{'original_duration': 3.045, 'adjusted_duration': 2.616125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.285, 'total_adjusted_duration': 2.1675639021553494, 'tempo_ratio': 1.05417884}, 'tcl': {'count': 1, 'total_original_duration': 0.605, 'total_adjusted_duration': 0.36112445938534316, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.0525, 'total_adjusted_duration': 0.031866794419937346, 'tempo_ratio': 1.647482935}, 'ih': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05556488718611697, 'tempo_ratio': 1.664720378}}}",0008.wav
slip,fub,fub,"{'mean_confidence': 0.9940627813339233, 'min_confidence': 0.5246906876564026, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.996017336845398, 'min_confidence': 0.5375178456306458, 'max_confidence': 0.9999997615814209}",3.13,2.701,1.0,1.0,"{'original_duration': 3.13, 'adjusted_duration': 2.701, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.4025, 'total_adjusted_duration': 2.279025065614104, 'tempo_ratio': 1.05417884}, 's': {'count': 1, 'total_original_duration': 0.3625, 'total_adjusted_duration': 0.21513239982896445, 'tempo_ratio': 1.685008861}, 'l': {'count': 1, 'total_original_duration': 0.0575, 'total_adjusted_duration': 0.031957827832355824, 'tempo_ratio': 1.799246191}, 'ih': {'count': 1, 'total_original_duration': 0.0675, 'total_adjusted_duration': 0.040547350108788065, 'tempo_ratio': 1.664720378}, 'pcl': {'count': 1, 'total_original_duration': 0.1275, 'total_adjusted_duration': 0.07637352300195603, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.095, 'total_adjusted_duration': 0.05801965757177977, 'tempo_ratio': 1.637376089}}}",0009.wav
left,let,let,"{'mean_confidence': 0.999987006187439, 'min_confidence': 0.9994779229164124, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.9999220967292786, 'min_confidence': 0.9957984089851379, 'max_confidence': 0.9999997615814209}",2.395,2.0215,1.0,1.0,"{'original_duration': 2.395, 'adjusted_duration': 2.0215, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 1.687125, 'total_adjusted_duration': 1.6004163012795816, 'tempo_ratio': 1.05417884}, 'l': {'count': 1, 'total_original_duration': 0.1628125, 'total_adjusted_duration': 0.09048928424270318, 'tempo_ratio': 1.799246191}, 'eh': {'count': 1, 'total_original_duration': 0.12575, 'total_adjusted_duration': 0.07947664105392496, 'tempo_ratio': 1.582225901}, 'f': {'count': 1, 'total_original_duration': 0.4094375, 'total_adjusted_duration': 0.2510872743588705, 'tempo_ratio': 1.630658109}}}",0010.wav
right,raight,mighte,"{'mean_confidence': 0.983457624912262, 'min_confidence': 0.4930862486362457, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.9864269495010376, 'min_confidence': 0.6227693557739258, 'max_confidence': 0.9999997615814209}",2.365,2.01675,1.0,1.0,"{'original_duration': 2.365, 'adjusted_duration': 2.01675, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.6635625, 'total_adjusted_duration': 1.5780647807349273, 'tempo_ratio': 1.05417884}, 'r': {'count': 1, 'total_original_duration': 0.1339375, 'total_adjusted_duration': 0.08547528587032664, 'tempo_ratio': 1.566973408}, 'ay': {'count': 1, 'total_original_duration': 0.146125, 'total_adjusted_duration': 0.10734352546780769, 'tempo_ratio': 1.361283779}, 'tcl': {'count': 1, 'total_original_duration': 0.1023125, 'total_adjusted_duration': 0.061070324381591615, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.3044375, 'total_adjusted_duration': 0.18478947097561288, 'tempo_ratio': 1.647482935}}}",0011.wav
feet,i fit,a feature,"{'mean_confidence': 0.9807912707328796, 'min_confidence': 0.4971637427806854, 'max_confidence': 0.9999991655349731}","{'mean_confidence': 0.996589183807373, 'min_confidence': 0.7906360626220703, 'max_confidence': 0.9999997615814209}",2.575,2.2188125,2.0,2.0,"{'original_duration': 2.575, 'adjusted_duration': 2.2188125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9275000000000002, 'total_adjusted_duration': 1.8284373835467993, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.0875, 'total_adjusted_duration': 0.05365931676116909, 'tempo_ratio': 1.630658109}, 'iy': {'count': 1, 'total_original_duration': 0.205, 'total_adjusted_duration': 0.13178610751663253, 'tempo_ratio': 1.555550914}, 't': {'count': 1, 'total_original_duration': 0.3375, 'total_adjusted_duration': 0.20485796412816867, 'tempo_ratio': 1.647482935}}}",0012.wav
form,forms,false,"{'mean_confidence': 0.9971725940704346, 'min_confidence': 0.7413981556892395, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.9878600835800171, 'min_confidence': 0.6558942794799805, 'max_confidence': 0.9999996423721313}",2.3,1.920375,1.0,1.0,"{'original_duration': 2.3, 'adjusted_duration': 1.920375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.5964999999999998, 'total_adjusted_duration': 1.514448914569372, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.1824375, 'total_adjusted_duration': 0.11187967544703756, 'tempo_ratio': 1.630658109}, 'ao': {'count': 1, 'total_original_duration': 0.135, 'total_adjusted_duration': 0.07829773109304625, 'tempo_ratio': 1.724187893}, 'r': {'count': 1, 'total_original_duration': 0.052125, 'total_adjusted_duration': 0.03326476360982381, 'tempo_ratio': 1.566973408}, 'm': {'count': 1, 'total_original_duration': 0.31975, 'total_adjusted_duration': 0.18249517668672474, 'tempo_ratio': 1.752101101}}}",0013.wav
she had your dark suit in greasy wash water all year,she emier te tu in giwiwath water oy,she e near dine ten in giri witwatch water,"{'mean_confidence': 0.9633534550666809, 'min_confidence': 0.30763792991638184, 'max_confidence': 0.9999988079071045}","{'mean_confidence': 0.9571102261543274, 'min_confidence': 0.2944110929965973, 'max_confidence': 0.9999991655349731}",12.82,9.5619375,0.7272727272727273,0.7272727272727273,"{'original_duration': 12.82, 'adjusted_duration': 9.5619375, 'phoneme_stats': {'noi': {'count': 10, 'total_original_duration': 5.6425, 'total_adjusted_duration': 5.352507360136349, 'tempo_ratio': 1.05417884}, 'sh': {'count': 1, 'total_original_duration': 0.245, 'total_adjusted_duration': 0.16356455724202282, 'tempo_ratio': 1.497879517}, 'iy': {'count': 3, 'total_original_duration': 0.825, 'total_adjusted_duration': 0.5303587253718139, 'tempo_ratio': 1.555550914}, 'ae': {'count': 1, 'total_original_duration': 0.2125, 'total_adjusted_duration': 0.12138408152692318, 'tempo_ratio': 1.750641413}, 'd': {'count': 4, 'total_original_duration': 0.76, 'total_adjusted_duration': 0.42448229282224875, 'tempo_ratio': 1.790416262}, 'y': {'count': 2, 'total_original_duration': 0.40750000000000003, 'total_adjusted_duration': 0.2098598163000776, 'tempo_ratio': 1.941772404}, 'ao': {'count': 3, 'total_original_duration': 0.835, 'total_adjusted_duration': 0.48428596639032306, 'tempo_ratio': 1.724187893}, 'dcl': {'count': 1, 'total_original_duration': 0.0975, 'total_adjusted_duration': 0.06258180075199601, 'tempo_ratio': 1.557960922}, 'aa': {'count': 2, 'total_original_duration': 0.7250000000000001, 'total_adjusted_duration': 0.3872871552193595, 'tempo_ratio': 1.871995986}, 'th': {'count': 2, 'total_original_duration': 0.28, 'total_adjusted_duration': 0.1946660119473957, 'tempo_ratio': 1.438361002}, 'uw': {'count': 1, 'total_original_duration': 0.1, 'total_adjusted_duration': 0.05539546733280322, 'tempo_ratio': 1.805201848}, 'ih': {'count': 3, 'total_original_duration': 0.95, 'total_adjusted_duration': 0.5706664089384986, 'tempo_ratio': 1.664720378}, 'n': {'count': 1, 'total_original_duration': 0.2325, 'total_adjusted_duration': 0.13377663330726808, 'tempo_ratio': 1.737971679}, 'gcl': {'count': 1, 'total_original_duration': 0.155, 'total_adjusted_duration': 0.11331602546309932, 'tempo_ratio': 1.367855953}, 'g': {'count': 1, 'total_original_duration': 0.055, 'total_adjusted_duration': 0.03519586098927301, 'tempo_ratio': 1.562683749}, 'r': {'count': 2, 'total_original_duration': 0.1625, 'total_adjusted_duration': 0.10370309998266417, 'tempo_ratio': 1.566973408}, 'w': {'count': 2, 'total_original_duration': 0.9025, 'total_adjusted_duration': 0.5141130011581083, 'tempo_ratio': 1.755450646}, 'er': {'count': 1, 'total_original_duration': 0.2125, 'total_adjusted_duration': 0.10497874290622076, 'tempo_ratio': 2.024219324}}}",0014.wav
up,up,up,"{'mean_confidence': 0.999945342540741, 'min_confidence': 0.993500292301178, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.999086856842041, 'min_confidence': 0.9575823545455933, 'max_confidence': 0.9999991655349731}",2.745,2.358375,0.0,0.0,"{'original_duration': 2.745, 'adjusted_duration': 2.358375, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 1.9874999999999998, 'total_adjusted_duration': 1.8853537223342482, 'tempo_ratio': 1.05417884}, 'sil': {'count': 1, 'total_original_duration': 0.14, 'total_adjusted_duration': 0.14, 'tempo_ratio': 1.0}, 'ah': {'count': 1, 'total_original_duration': 0.2675, 'total_adjusted_duration': 0.12618523539137705, 'tempo_ratio': 2.119899362}, 'pcl': {'count': 1, 'total_original_duration': 0.07, 'total_adjusted_duration': 0.041930561648132726, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.27, 'total_adjusted_duration': 0.1648979741513741, 'tempo_ratio': 1.637376089}}}",0015.wav
